owl2dl_profile_violation,annotation_property_count,obj_property_count_incl,tboxrbox_size_incl,signature_size,owl2_rl,reasoner_jar,indiv_count,axiom_types_incl,rule_ct_incl,anno_ct,experiment_version,tbox_nominals,filepath,AL,datatypes_count_incl,experiment_date,owl2,signature_size_incl,ax_complexrhs_ct,owl2_ql,param_ontfile,param_reasoner,avg_size_complexrhs,logical_axiom_count,filename,owl2_el,class_count,logical_axiom_count_incl,peak_memory_usage,jar_name,avg_size_complexrhs_incl,dt_builtin_ct,dataproperty_count_incl,dt_notbuiltin_ct,reasoner_class,rdfs,abox_nominals_incl,filesize,owlapi_version,obj_property_count,valid_imports,constructs,dt_builtin_ct_incl,rbox_size,tbox_nominals_incl,ax_complexrhs_ct_incl,dataproperty_count,abox_size_incl,indiv_count_incl,tbox_size,owl2_dl,rbox_size_incl,rule_ct,reasoner,tboxrbox_size,axiom_type_count,tbox_size_incl,abox_nominals,experiment_runid,datatypes_count,experiment_id,axiom_types,axiom_type_count_incl,dt_notbuiltin_ct_incl,class_count_incl,constructs_incl,reasoner_timeout,abox_size,inf_hier_directory,fixed_profile_violations
,0,11,2692,1612,0,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,1612,1078,1,/home/zeus/experiments/bpdownload/repo/owlxml/aao.amphibian-gross-anatomy-ontology.8.owl.xml,hermit,1,2692,aao.amphibian-gross-anatomy-ontology.8.owl.xml,1,1601,2692,366502232,metrics.jar,1,0,0,0,ReasonerFactory,0,0,738074,metrics.jar,11,,E AL ,0,0,0,1078,0,0,0,2692,1,0,0,,2692,Declaration:1612 SubClassOf:2692 ,2692,0,2.76176E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:1612 SubClassOf:2692 ,0,1601,E AL ,20000000,0,null,
,0,2,3441,915,1,metrics.jar,0,ObjectPropertyDomain DisjointClasses Declaration SubClassOf InverseObjectProperties ObjectPropertyRange ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,915,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/aba-amb.allen-brain-atlas-aba-adult-mouse-brain-ontology.1.owl.xml,hermit,NaN,3441,aba-amb.allen-brain-atlas-aba-adult-mouse-brain-ontology.1.owl.xml,0,913,3441,279879384,metrics.jar,NaN,0,0,0,ReasonerFactory,0,0,407472,metrics.jar,2,,C I AL ,0,1,0,0,0,0,0,3440,1,1,0,,3441,ObjectPropertyDomain:2 DisjointClasses:2525 Declaration:915 SubClassOf:911 InverseObjectProperties:1 ObjectPropertyRange:2 ,3440,0,2.76176E+15,0,OntologyMetricsGathering,ObjectPropertyDomain DisjointClasses Declaration SubClassOf InverseObjectProperties ObjectPropertyRange ,ObjectPropertyDomain:2 DisjointClasses:2525 Declaration:915 SubClassOf:911 InverseObjectProperties:1 ObjectPropertyRange:2 ,0,913,C I AL ,20000000,0,null,
,0,3,2637,1448,0,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,1448,1010,1,/home/zeus/experiments/bpdownload/repo/owlxml/abd.anthology-of-biosurveillance-diseases.4.owl.xml,hermit,1,2637,abd.anthology-of-biosurveillance-diseases.4.owl.xml,1,1445,2637,366894104,metrics.jar,1,0,0,0,ReasonerFactory,0,0,749837,metrics.jar,3,,E AL ,0,0,0,1010,0,0,0,2637,1,0,0,,2637,Declaration:1448 SubClassOf:2637 ,2637,0,2.76176E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:1448 SubClassOf:2637 ,0,1445,E AL ,20000000,0,null,
InsufficientIndividuals:1 ,0,242,5422,2096,0,metrics.jar,61,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SymmetricObjectProperty SubDataPropertyOf DataPropertyRange SubClassOf ClassAssertion ObjectPropertyRange AsymmetricObjectProperty ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties InverseFunctionalObjectProperty DifferentIndividuals IrrefexiveObjectProperty ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,AL,8,2017/3/31 9:56,1,2096,714,0,/home/zeus/experiments/bpdownload/repo/owlxml/acgt-mo.cancer-research-and-management-acgt-master-ontology.2.owl.xml,hermit,1.037815126,5519,acgt-mo.cancer-research-and-management-acgt-master-ontology.2.owl.xml,0,1770,5519,368426872,metrics.jar,1.037815126,7,15,1,ReasonerFactory,0,1,955122,metrics.jar,242,,Q R S D I O ,7,245,1,714,15,97,61,5177,0,245,0,,5422,EquivalentClasses:67 TransitiveObjectProperty:19 FunctionalObjectProperty:7 SubObjectPropertyOf:103 SymmetricObjectProperty:5 SubDataPropertyOf:2 DataPropertyRange:14 SubClassOf:2417 ClassAssertion:87 ObjectPropertyRange:165 AsymmetricObjectProperty:1 ObjectPropertyDomain:170 DisjointClasses:2322 DataPropertyDomain:10 Declaration:2088 FunctionalDataProperty:3 InverseObjectProperties:114 InverseFunctionalObjectProperty:2 DifferentIndividuals:10 IrrefexiveObjectProperty:1 ,5177,1,2.76176E+15,8,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SymmetricObjectProperty SubDataPropertyOf DataPropertyRange SubClassOf ClassAssertion ObjectPropertyRange AsymmetricObjectProperty ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties InverseFunctionalObjectProperty DifferentIndividuals IrrefexiveObjectProperty ,EquivalentClasses:67 TransitiveObjectProperty:19 FunctionalObjectProperty:7 SubObjectPropertyOf:103 SymmetricObjectProperty:5 SubDataPropertyOf:2 DataPropertyRange:14 SubClassOf:2417 ClassAssertion:87 ObjectPropertyRange:165 AsymmetricObjectProperty:1 ObjectPropertyDomain:170 DisjointClasses:2322 DataPropertyDomain:10 Declaration:2088 FunctionalDataProperty:3 InverseObjectProperties:114 InverseFunctionalObjectProperty:2 DifferentIndividuals:10 IrrefexiveObjectProperty:1 ,1,1770,Q R S D I O ,20000000,97,null,
UseOfReservedVocabularyForObjectPropertyIRI:3 UseOfReservedVocabularyForClassIRI:1 ,0,94,363,209,0,metrics.jar,12,SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf DataPropertyRange ObjectPropertyRange SubClassOf ClassAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration InverseObjectProperties ObjectPropertyAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,6,2017/3/31 9:56,1,209,9,0,/home/zeus/experiments/bpdownload/repo/owlxml/adalab-meta.adalab-meta-ontology.6.owl.xml,hermit,1,374,adalab-meta.adalab-meta-ontology.6.owl.xml,0,70,374,280111416,metrics.jar,1,6,27,0,ReasonerFactory,0,0,99467,metrics.jar,94,,Q R C D I AL ,6,51,0,9,27,11,12,312,0,51,0,,363,SubObjectPropertyOf:35 SubPropertyChainOf:12 SubDataPropertyOf:1 DataPropertyRange:25 ObjectPropertyRange:89 SubClassOf:66 ClassAssertion:9 ObjectPropertyDomain:91 DisjointClasses:5 DataPropertyDomain:36 Declaration:202 InverseObjectProperties:3 ObjectPropertyAssertion:2 ,312,0,2.76176E+15,6,OntologyMetricsGathering,SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf DataPropertyRange ObjectPropertyRange SubClassOf ClassAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration InverseObjectProperties ObjectPropertyAssertion ,SubObjectPropertyOf:35 SubPropertyChainOf:12 SubDataPropertyOf:1 DataPropertyRange:25 ObjectPropertyRange:89 SubClassOf:66 ClassAssertion:9 ObjectPropertyDomain:91 DisjointClasses:5 DataPropertyDomain:36 Declaration:202 InverseObjectProperties:3 ObjectPropertyAssertion:2 ,0,70,Q R C D I AL ,20000000,11,null,
UseOfPropertyInChainCausesCycle:9 ,0,62,649,527,0,metrics.jar,1,EquivalentClasses TransitiveObjectProperty ObjectPropertyDomain SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf Declaration SubClassOf InverseObjectProperties ObjectPropertyRange ClassAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,527,29,0,/home/zeus/experiments/bpdownload/repo/owlxml/adalab.adalab-ontology.6.owl.xml,hermit,1.275862069,650,adalab.adalab-ontology.6.owl.xml,0,460,650,280537304,metrics.jar,1.275862069,0,4,0,ReasonerFactory,0,0,175811,metrics.jar,62,,R D E I AL TRAN ,0,115,0,29,4,1,1,534,0,115,0,,649,EquivalentClasses:17 TransitiveObjectProperty:13 ObjectPropertyDomain:11 SubObjectPropertyOf:57 SubPropertyChainOf:26 SubDataPropertyOf:3 Declaration:527 SubClassOf:494 InverseObjectProperties:16 ObjectPropertyRange:12 ClassAssertion:1 ,534,0,2.76176E+15,0,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty ObjectPropertyDomain SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf Declaration SubClassOf InverseObjectProperties ObjectPropertyRange ClassAssertion ,EquivalentClasses:17 TransitiveObjectProperty:13 ObjectPropertyDomain:11 SubObjectPropertyOf:57 SubPropertyChainOf:26 SubDataPropertyOf:3 Declaration:527 SubClassOf:494 InverseObjectProperties:16 ObjectPropertyRange:12 ClassAssertion:1 ,0,460,R D E I AL TRAN ,20000000,1,null,
,0,41,6339,2876,0,metrics.jar,642,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SubDataPropertyOf DataPropertyRange SubClassOf ClassAssertion ObjectPropertyRange DataPropertyAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration Rule FunctionalDataProperty InverseObjectProperties ObjectPropertyAssertion ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,AL,5,2017/3/31 9:56,1,2876,46,0,/home/zeus/experiments/bpdownload/repo/owlxml/adar.autism-dsm-adi-r-ontology.1.owl.xml,hermit,7.695652174,7993,adar.autism-dsm-adi-r-ontology.1.owl.xml,0,791,7993,1229077168,metrics.jar,7.695652174,4,1397,1,ReasonerFactory,0,0,4313426,metrics.jar,41,,S D F H I O ,4,1383,1,46,1397,1654,642,4956,1,1383,0,,6339,EquivalentClasses:50 TransitiveObjectProperty:1 FunctionalObjectProperty:12 SubObjectPropertyOf:11 SubDataPropertyOf:1370 DataPropertyRange:1314 SubClassOf:793 ClassAssertion:611 ObjectPropertyRange:25 DataPropertyAssertion:611 ObjectPropertyDomain:20 DisjointClasses:80 DataPropertyDomain:1331 Declaration:2871 Rule:642 FunctionalDataProperty:1331 InverseObjectProperties:1 ObjectPropertyAssertion:432 ,4956,0,2.76176E+15,5,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SubDataPropertyOf DataPropertyRange SubClassOf ClassAssertion ObjectPropertyRange DataPropertyAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration Rule FunctionalDataProperty InverseObjectProperties ObjectPropertyAssertion ,EquivalentClasses:50 TransitiveObjectProperty:1 FunctionalObjectProperty:12 SubObjectPropertyOf:11 SubDataPropertyOf:1370 DataPropertyRange:1314 SubClassOf:793 ClassAssertion:611 ObjectPropertyRange:25 DataPropertyAssertion:611 ObjectPropertyDomain:20 DisjointClasses:80 DataPropertyDomain:1331 Declaration:2871 Rule:642 FunctionalDataProperty:1331 InverseObjectProperties:1 ObjectPropertyAssertion:432 ,1,791,S D F H I O ,20000000,1654,null,
,0,29,176,149,0,metrics.jar,62,FunctionalObjectProperty SameIndividual SubObjectPropertyOf SubDataPropertyOf DataPropertyRange ClassAssertion ObjectPropertyRange SubClassOf DataPropertyAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,2,2017/3/31 9:56,1,149,0,0,/home/zeus/experiments/bpdownload/repo/owlxml/admin.nurse-administrator.1.owl.xml,hermit,NaN,295,admin.nurse-administrator.1.owl.xml,0,43,295,237134848,metrics.jar,NaN,2,13,0,ReasonerFactory,0,0,72650,metrics.jar,29,,C D F H I AL O ,2,10,0,0,13,119,62,166,1,10,0,,176,FunctionalObjectProperty:27 SameIndividual:3 SubObjectPropertyOf:5 SubDataPropertyOf:1 DataPropertyRange:12 ClassAssertion:72 ObjectPropertyRange:49 SubClassOf:33 DataPropertyAssertion:44 ObjectPropertyDomain:28 DisjointClasses:1 DataPropertyDomain:4 Declaration:145 FunctionalDataProperty:12 InverseObjectProperties:4 ,166,0,2.76177E+15,2,OntologyMetricsGathering,FunctionalObjectProperty SameIndividual SubObjectPropertyOf SubDataPropertyOf DataPropertyRange ClassAssertion ObjectPropertyRange SubClassOf DataPropertyAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties ,FunctionalObjectProperty:27 SameIndividual:3 SubObjectPropertyOf:5 SubDataPropertyOf:1 DataPropertyRange:12 ClassAssertion:72 ObjectPropertyRange:49 SubClassOf:33 DataPropertyAssertion:44 ObjectPropertyDomain:28 DisjointClasses:1 DataPropertyDomain:4 Declaration:145 FunctionalDataProperty:12 InverseObjectProperties:4 ,0,43,C D F H I AL O ,20000000,119,null,
,0,11,2401,1576,0,metrics.jar,0,EquivalentClasses TransitiveObjectProperty ObjectPropertyDomain SubObjectPropertyOf DisjointClasses Declaration SubClassOf ObjectPropertyRange InverseObjectProperties ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,1576,743,0,/home/zeus/experiments/bpdownload/repo/owlxml/ado.alzheimers-disease-ontology.3.owl.xml,hermit,1.040376851,2401,ado.alzheimers-disease-ontology.3.owl.xml,0,1565,2401,323596352,metrics.jar,1.040376851,0,0,0,ReasonerFactory,0,0,584386,metrics.jar,11,,S H I ,0,3,0,743,0,0,0,2398,1,3,0,,2401,EquivalentClasses:72 TransitiveObjectProperty:1 ObjectPropertyDomain:8 SubObjectPropertyOf:1 DisjointClasses:44 Declaration:1575 SubClassOf:2266 ObjectPropertyRange:8 InverseObjectProperties:1 ,2398,0,2.76177E+15,0,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty ObjectPropertyDomain SubObjectPropertyOf DisjointClasses Declaration SubClassOf ObjectPropertyRange InverseObjectProperties ,EquivalentClasses:72 TransitiveObjectProperty:1 ObjectPropertyDomain:8 SubObjectPropertyOf:1 DisjointClasses:44 Declaration:1575 SubClassOf:2266 ObjectPropertyRange:8 InverseObjectProperties:1 ,0,1565,S H I ,20000000,0,null,
IllegalPunning:4 UseOfReservedVocabularyForClassIRI:5 UseOfUndeclaredDataProperty:3 UseOfUndeclaredObjectProperty:1 ,0,17,635,474,0,metrics.jar,26,FunctionalObjectProperty ObjectPropertyDomain DataPropertyRange DataPropertyDomain Declaration FunctionalDataProperty SubClassOf ObjectPropertyRange ClassAssertion ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,AL,3,2017/3/31 9:56,1,474,102,0,/home/zeus/experiments/bpdownload/repo/owlxml/adw.animal-natural-history-and-life-history-ontology.2.owl.xml,hermit,1,638,adw.animal-natural-history-and-life-history-ontology.2.owl.xml,0,364,638,279991304,metrics.jar,1,3,64,0,ReasonerFactory,0,0,127687,metrics.jar,17,,C D F AL O ,3,0,1,102,64,3,26,635,0,0,0,,635,FunctionalObjectProperty:10 ObjectPropertyDomain:6 DataPropertyRange:64 DataPropertyDomain:26 Declaration:469 FunctionalDataProperty:56 SubClassOf:460 ObjectPropertyRange:13 ClassAssertion:3 ,635,0,2.76177E+15,3,OntologyMetricsGathering,FunctionalObjectProperty ObjectPropertyDomain DataPropertyRange DataPropertyDomain Declaration FunctionalDataProperty SubClassOf ObjectPropertyRange ClassAssertion ,FunctionalObjectProperty:10 ObjectPropertyDomain:6 DataPropertyRange:64 DataPropertyDomain:26 Declaration:469 FunctionalDataProperty:56 SubClassOf:460 ObjectPropertyRange:13 ClassAssertion:3 ,0,364,C D F AL O ,20000000,3,null,
